LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
LS050T1SX04,SHARP,5.0,LCD,1080x1920,400,MIPI
HJ070IA-04K I,Innolux,7.0,LCD,800x1280,450,MIPI
PJ035IA-02P,Innolux,3.5,LCD,320x480,300,MIPI
H160QVN01.0,AUO,1.6,CELL,320x3320,0,MIPI
H139BLN01.1,AUO,1.39,OLED,400x400,300,MIPI
CLAA101WJ05,CPT,10.1,LCD,1366x768,400,MIPI
P089DCZ-3A1,Innolux,8.9,CELL,800x1280,0,MIPI
H545QAN01.0,AUO,5.5,CELL,1440x2560,0,MIPI
DLC0700WZG,Other,7.0,LCD,1200x1920,350,MIPI
LH470WX6-SD01,LG Display,4.7,Assembly,750x1334,550,MIPI
LH550WF4-SD01,LG Display,5.5,Assembly,1080x1920,550,MIPI
P060DDZ-ZZ1,Innolux,6.0,CELL,800x1280,0,MIPI
TM050JDHG31,Tianma,5.0,LCD,720x1280,430,MIPI
CLAA080WQ65 XG,CPT,8.0,LCD,800x1280,400,MIPI
H497TLB01.4,AUO,5.0,OLED,720x1280,275,MIPI
B101UAN01.7 HW2A,AUO,10.1,LCD,1920x1200,380,MIPI
LPM013M091A,JDI,1.34,LCD,320x300,10,MIPI
COM48H4N15ULC,ORTUSTECH,4.8,LCD,720x1280,300,MIPI
LS055D1SX04,SHARP,5.5,LCD,2160x3840,450,MIPI
TV080WXB-NV0,BOE,8.0,CELL,800x1280,0,MIPI
CLAA101WR61 XG,CPT,10.1,LCD,800x1280,350,MIPI
CLAA070WP06G XG,CPT,7.0,LCD,800x1280,400,MIPI
LS029B3SX02,SHARP,2.9,LCD,1440x1440,300,MIPI
TV101WXM-NU4,BOE,10.1,LCD,800x1280,400,MIPI
LS029B3SX01,SHARP,2.9,LCD,1440x1440,300,MIPI
COM48H4N22ULC,ORTUSTECH,4.8,LCD,720x1280,300,MIPI
H546DLB01.2,AUO,5.5,OLED,1080x1920,100,MIPI
LD101WX3-SMP1,LG Display,10.1,LCD,800x1280,400,MIPI
LS060R1SX01,SHARP,6.0,LCD,1440x2560,420,MIPI
TV101WXM-NP0,BOE,10.1,LCD,1280x800,330,MIPI
TM050JVZG28,Tianma,5.0,Assembly,720x1280,300,MIPI
LS055D1SX05(G),SHARP,5.5,LCD,2160x3840,450,MIPI
LS052R1SX04,SHARP,5.2,LCD,1440x2560,450,MIPI
N080JCE-G41 Rev.A1,Innolux,8.0,LCD,1200x1920,400,MIPI
TXW350013C1,White Brand,3.5,LCD,320x480,,MIPI
TXW350015C0,White Brand,3.5,LCD,320x480,450,MIPI
TXW350021C0,White Brand,3.5,LCD,320x480,,MIPI
TXW397016C0,White Brand,3.9,LCD,480x800,,MIPI
TXW397013B2,White Brand,4.0,LCD,480x800,,MIPI
TXW450008S1,White Brand,4.5,LCD,480x854,,MIPI
TXW500031B0,White Brand,5.0,LCD,720x1280,,MIPI
TXW500032B1,White Brand,5.0,LCD,720x1280,,MIPI
TXW600001I0,White Brand,6.0,LCD,540x960,450,MIPI
TXW550001B0,White Brand,5.5,LCD,720x1280,,MIPI
TXW700001S0,White Brand,7.0,LCD,720x1280,,MIPI
TXW470002B0,White Brand,4.7,LCD,720x1280,,MIPI
TXW700005B0,White Brand,7.0,LCD,800x1280,300,MIPI
H428VL01 V0,AUO,4.3,LCD,480x854,550,MIPI
LH430WV1-SD02,LG Display,4.3,LCD,480x800,600,MIPI
LS040T8LX05,SHARP,4.0,LCD,480x854,400,MIPI
LH450WX1-SD01,LG Display,4.5,LCD,720x1280,500,MIPI
HV080X01-100,HYDIS,8.0,LCD,768x1024,450,MIPI
ACX435AKN-7,SONY,4.5,LCD,800x1280,550,MIPI
AMS465GS16-1,Samsung,4.7,Assembly,720x1280,300,MIPI
LS047K1SX02,SHARP,4.7,LCD,720x1280,450,MIPI
LS045K3SX05,SHARP,4.5,LCD,720x1280,330,MIPI
B079XAN02.0,AUO,7.9,LCD,768x1024,300,MIPI
CLAN045LB31 2AX,CPT,4.5,CELL,540x5960,0,MIPI
H429AL02.0,AUO,4.3,LCD,540x960,,MIPI
VVX07H005A90,Panasonic,7.0,LCD,800x1280,450,MIPI
A070PAN01.0 CELL,AUO,7.0,CELL,900x1440,0,MIPI
ACX450AKN-7,JDI,5.0,LCD,1080x1920,485,MIPI
AMS465GS53,Samsung,4.7,Assembly,720x1280,300,MIPI
HE070IA-04M,Innolux,7.0,CELL,800x1280,0,MIPI
LSL080AL02-S01,Samsung,8.0,CELL,800x1280,0,MIPI
VVX07H005A00,Panasonic,7.0,LCD,800x1280,450,MIPI
TX13D201VM0AAA,KOE,5.2,LCD,1080x1920,500,MIPI
VVX10F002A00,Panasonic,10.1,LCD,1920x1200,450,MIPI
BP080WX1-100,BOE,8.0,LCD,1280x800,,MIPI
BP101WX1-207,BOE,10.1,LCD,1280x800,330,MIPI
H572DAN01.2,AUO,5.7,CELL,1080x1920,0,MIPI
B080EAN01.1,AUO,8.0,LCD,800x1280,400,MIPI
B080XAN03.1 CELL,AUO,7.9,CELL,768x1024,0,MIPI
LH520WF1-SD01,LG Display,5.2,Assembly,1080x1920,380,MIPI
N101ICE-G61,Innolux,10.1,LCD,1280x800,350,MIPI
LS063K3SX54,SHARP,6.3,LCD,720x1280,450,MIPI
N101ICE-G62,Innolux,10.1,LCD,1280x800,350,MIPI
LPM070W425D,JDI,7.0,CELL,1200x1920,0,MIPI
LSL080AL02-002,Samsung,8.0,CELL,800x1280,0,MIPI
B070EAN01.4,AUO,7.0,LCD,800x1280,350,MIPI
PJ101IA-01A,Innolux,10.1,LCD,1280x800,450,MIPI
LSL080AL02-D01,Samsung,8.0,CELL,800x1280,0,MIPI
LP070WU2-SM01,LG Display,7.0,LCD,1200x1920,380,MIPI
B101UAN01.7 CELL,AUO,10.1,CELL,1920x1200,0,MIPI
TM050JDHP02,Tianma,5.0,LCD,720x1280,420,MIPI
B080XAN02.0 CELL,AUO,7.9,CELL,768x1024,0,MIPI
LH400WS1-SD03,LG Display,4.0,LCD,640x1136,580,MIPI
VVX10F008B90,Panasonic,10.1,LCD,1920x1200,385,MIPI
CLAB080WQ06,CPT,8.0,CELL,800x1280,0,MIPI
LSL080AL02-Y01,Samsung,8.0,CELL,800x1280,0,MIPI
TPF0702002N,JDI,7.0,CELL,1200x1920,0,MIPI
BP096WX7-100,BOE,9.6,CELL,800x1280,0,MIPI
B080EAN02.1,AUO,8.0,LCD,800x1280,350,MIPI
LTL070AL03,Samsung,7.0,LCD,800x1280,450,MIPI
VVX10F034N00,Panasonic,10.1,LCD,1920x1200,400,MIPI
B080EAN01.4,AUO,8.0,LCD,800x1280,400,MIPI
